Location,Team,Opponent,ADJO,ADJD,EFG%,TO%,OR%,FTR,Opp EFG%,Opp TO%,Opp OR%,Opp FTR,opp_adj_o,opp_adj_d
Neutral,Auburn,Purdue,131.0,95.6,59.4,12.9,35.4,29.6,57.3,18.4,29.5,41.4,120.5,100.0
Home,Houston,Texas A&M Corpus Christi,119.7,88.6,52.1,14.6,38.0,27.4,54.9,17.8,30.9,40.5,107.0,106.4
Away,Duke,Georgia Tech,118.9,88.5,54.0,15.5,34.4,29.9,49.3,16.0,30.3,33.0,107.6,102.3
Home,Gonzaga,Bucknell,124.4,95.8,55.7,13.2,33.6,34.9,49.4,20.1,25.9,41.1,97.0,106.9
Home,Florida,North Florida,122.6,97.8,54.7,15.2,40.3,32.3,53.6,13.6,29.1,23.3,112.3,114.7
Neutral,Kentucky,Ohio State,122.7,98.2,57.2,13.1,31.5,31.6,57.1,15.7,28.2,34.0,114.6,99.7
Away,Marquette,Xavier,118.8,96.9,54.1,13.1,31.9,27.2,54.9,16.4,29.2,35.9,113.5,101.5
Neutral,UCLA,North Carolina,113.1,92.3,54.0,16.0,35.2,34.4,52.6,14.2,28.6,37.5,116.8,99.6
Neutral,Maryland,Syracuse,115.9,95.1,57.4,13.1,33.7,31.4,50.8,14.2,29.4,38.0,112.6,107.3
Away,Connecticut,Butler,123.4,101.5,57.9,14.7,35.7,33.5,53.6,18.9,29.9,48.4,113.4,102.9






"2024-12-22","Home","Oklahoma","Central Arkansas",112.6,103.1,55.9,12.3,28.6,20.6,44.5,16.5,22,17.2,97.5,107.7
"2024-12-22","Away","Illinois St.","Cornell",118.1,109,63,15.1,23.3,33.3,58.5,13.6,11.1,32.1,112.8,116.8
"2024-12-22","Neutral","Illinois","Missouri",110.9,93.4,50.9,22.9,36.4,40.4,42.2,12.1,23.1,63.8,118,98.2
"2024-12-22","Home","Colgate","Iona",104.5,125.5,63.3,29.2,34.6,32.7,54.8,20.4,42.9,25.4,110.5,111.1
"2024-12-22","Home","Alabama","Kent St.",111.2,77.8,52.5,25,45.5,58.3,29.3,14.5,28.6,17.3,80.8,89.7
"2024-12-22","Home","Iowa St.","Morgan St.",117.3,107.4,66.9,14.9,30.8,44.1,49.2,17.6,27,23.8,112.7,114.4
"2024-12-22","Away","New Hampshire","Stonehill",115.7,134.2,57.9,14.6,29.7,47.4,59,13.1,38.7,36.1,121.4,141.4
"2024-12-22","Home","Michigan","Purdue Fort Wayne",115.8,80.5,71.2,25.7,45,10.2,38.5,8.6,13.3,13.8,95.2,112.1
"2024-12-22","Home","Oklahoma","Central Arkansas",112.6,103.1,55.9,12.3,28.6,20.6,44.5,16.5,22,17.2,97.5,107.7
"2024-12-22","Away","Illinois St.","Cornell",118.1,109,63,15.1,23.3,33.3,58.5,13.6,11.1,32.1,112.8,116.8
"2024-12-22","Neutral","Illinois","Missouri",110.9,93.4,50.9,22.9,36.4,40.4,42.2,12.1,23.1,63.8,118,98.2
"2024-12-22","Home","Colgate","Iona",104.5,125.5,63.3,29.2,34.6,32.7,54.8,20.4,42.9,25.4,110.5,111.1
"2024-12-22","Home","Alabama","Kent St.",111.2,77.8,52.5,25,45.5,58.3,29.3,14.5,28.6,17.3,80.8,89.7
"2024-12-22","Home","Iowa St.","Morgan St.",117.3,107.4,66.9,14.9,30.8,44.1,49.2,17.6,27,23.8,112.7,114.4
"2024-12-22","Away","New Hampshire","Stonehill",115.7,134.2,57.9,14.6,29.7,47.4,59,13.1,38.7,36.1,121.4,141.4
"2024-12-22","Home","Michigan","Purdue Fort Wayne",115.8,80.5,71.2,25.7,45,10.2,38.5,8.6,13.3,13.8,95.2,112.1
